Date;Open*;Close**;Market Cap
12.03.2019;14,65;13,98;153807044
13.03.2019;13,97;14,05;154500934
14.03.2019;14,05;14,34;157714483
15.03.2019;14,34;14,63;160882154
16.03.2019;14,65;13,98;153794196
17.03.2019;14,01;14,79;162644577
18.03.2019;14,79;14,99;164864106
19.03.2019;15,01;14,8;162792283
20.03.2019;14,81;15,06;165664892
21.03.2019;15,08;14,68;161461749
22.03.2019;14,67;15,21;167294865
23.03.2019;15,21;15,51;170625285
24.03.2019;15,51;15,35;168827536
25.03.2019;15,37;15,11;166228457
26.03.2019;15,07;14,95;164493247
27.03.2019;14,98;15,37;169034158
28.03.2019;15,36;15,38;169187264
29.03.2019;15,38;14,71;161838170
30.03.2019;14,72;15,74;173154033
31.03.2019;15,74;15,43;169773701
1.04.2019;15,44;15,81;173959453
2.04.2019;15,82;17,62;193851606
3.04.2019;17,65;19,88;218730253
4.04.2019;19,89;19,31;212438892
5.04.2019;19,33;19,69;216586466
6.04.2019;19,7;21,32;234470362
7.04.2019;21,28;22,23;244544177
8.04.2019;22,23;22,33;245683423
9.04.2019;22,33;20,62;226811963
10.04.2019;20,6;19,96;219546708
11.04.2019;19,97;18,3;201265194
12.04.2019;18,3;19,46;214009282
13.04.2019;19,46;18,86;207510446
14.04.2019;18,86;20,23;222543498
15.04.2019;20,23;18,8;206820627
16.04.2019;18,81;19,14;210567317
17.04.2019;19,13;20,09;221029183
18.04.2019;20,09;21,31;234378230
19.04.2019;21,31;22,1;243060273
20.04.2019;22,12;21,68;238471812
21.04.2019;21,68;20,89;229755600
22.04.2019;20,87;22,92;252139847
23.04.2019;22,94;21,7;238741971
24.04.2019;21,7;21,75;239262159
25.04.2019;21,76;21,39;235326177
26.04.2019;21,44;22,1;243105087
27.04.2019;22,1;21,84;240214380
28.04.2019;21,82;21,48;236311826
29.04.2019;21,49;20,72;227935600
30.04.2019;20,72;21,28;234029112
1.05.2019;21,28;20,54;225935075
2.05.2019;20,54;20,46;225032989
3.05.2019;20,44;20,68;227428253
4.05.2019;20,68;20,45;224897028
5.05.2019;20,43;20,34;223702873
6.05.2019;20,32;20,79;228657911
7.05.2019;20,76;19,85;218303860
8.05.2019;19,92;19,95;219408944
9.05.2019;19,95;19,03;209295971
10.05.2019;19,02;19,52;214757447
11.05.2019;19,51;21,14;232545374
12.05.2019;21,12;20,1;221076368
13.05.2019;20,1;20,61;226688338
14.05.2019;20,6;21,2;233184917
15.05.2019;21,2;24,08;264903334
16.05.2019;24;23,06;253630137
17.05.2019;23,03;21,17;232884220
18.05.2019;21,17;21,77;239430642
19.05.2019;21,76;22,82;250978736
20.05.2019;22,82;21,31;234415982
21.05.2019;21,29;20,47;225158511
22.05.2019;20,46;19,56;215141094
23.05.2019;19,52;19,67;216331345
24.05.2019;19,66;19,37;213055145
25.05.2019;19,37;19,5;214498822
26.05.2019;19,47;20,01;220082332
27.05.2019;20,01;20,24;222635642
28.05.2019;20,22;20,43;224716945
29.05.2019;20,44;20,76;228347998
30.05.2019;20,78;19,44;213861677
31.05.2019;19,44;19,66;216293669
1.06.2019;19,64;19,54;214914142
2.06.2019;19,54;19,72;216873202
3.06.2019;19,72;18,6;204550209
4.06.2019;18,59;17,07;187752789
5.06.2019;17,08;17,97;197678858
6.06.2019;17,94;17,54;192925335
7.06.2019;17,56;18,6;204584381
8.06.2019;18,59;19,45;214004824
9.06.2019;19,45;17,92;197084410
10.06.2019;17,89;19,01;209154040
11.06.2019;19,02;18,74;206137283
12.06.2019;18,77;18,65;205099271
13.06.2019;18,66;18,44;202801169
14.06.2019;18,45;18,31;201358871
15.06.2019;18,31;18,76;206347163
16.06.2019;18,77;18,73;206065980
17.06.2019;18,74;18,73;206036912
18.06.2019;18,73;18,08;198838500
19.06.2019;18,08;18,31;201424336
20.06.2019;18,32;17,95;197399941
21.06.2019;17,95;18,19;200070657
22.06.2019;18,21;18,49;203443144
23.06.2019;18,48;18,25;200708478
24.06.2019;18,23;18,25;200699880
25.06.2019;18,24;17,94;197300038
26.06.2019;17,93;17,76;195370272
27.06.2019;17,75;16,81;184875227
28.06.2019;16,83;17,07;187780346
29.06.2019;17,1;16,87;185546079
30.06.2019;16,89;15,67;172383156
